# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 1020.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.7741587105   0.7741329379  -0.70090  3.66350    9.0215   8.0646   8.0958   6.9927   6.3535   5.8160   5.0624   4.4404   4.3601   4.3058   4.2969   4.4324
   0.7809002976   0.7808735893  -0.68316  3.66644    8.9178   7.9864   8.0173   6.9271   6.2987   5.7690   5.0264   4.4143   4.3357   4.2820   4.2737   4.4066
   0.7876418848   0.7876142222  -0.66558  3.66936    8.8148   7.9084   7.9390   6.8616   6.2440   5.7224   4.9908   4.3884   4.3115   4.2585   4.2509   4.3813
   0.7943834719   0.7943548132  -0.64814  3.67226    8.7132   7.8315   7.8618   6.7970   6.1899   5.6764   4.9555   4.3629   4.2876   4.2353   4.2283   4.3562
   0.8011250590   0.8010954201  -0.63079  3.67511    8.6138   7.7566   7.7866   6.7340   6.1371   5.6309   4.9206   4.3374   4.2637   4.2121   4.2056   4.3310
   0.8078666461   0.8078362140  -0.61339  3.67784    8.5181   7.6843   7.7140   6.6727   6.0852   5.5858   4.8854   4.3111   4.2388   4.1878   4.1817   4.3047
   0.8146082332   0.8145769532  -0.59611  3.68054    8.4244   7.6138   7.6432   6.6128   6.0345   5.5413   4.8505   4.2849   4.2140   4.1637   4.1579   4.2786
   0.8213498203   0.8213176692  -0.57897  3.68323    8.3329   7.5450   7.5742   6.5543   5.9847   5.4975   4.8160   4.2590   4.1894   4.1398   4.1342   4.2526
   0.8280914074   0.8280584001  -0.56193  3.68589    8.2427   7.4773   7.5062   6.4968   5.9355   5.4542   4.7819   4.2333   4.1650   4.1160   4.1107   4.2267
   0.8348329945   0.8347991117  -0.54502  3.68854    8.1531   7.4102   7.4388   6.4398   5.8868   5.4112   4.7481   4.2079   4.1408   4.0925   4.0875   4.2012
   0.8415745816   0.8415398380  -0.52822  3.69116    8.0631   7.3429   7.3712   6.3825   5.8381   5.3683   4.7145   4.1828   4.1170   4.0694   4.0646   4.1760
   0.8483161687   0.8482805490  -0.51154  3.69377    7.9729   7.2754   7.3034   6.3252   5.7894   5.3255   4.6811   4.1580   4.0935   4.0465   4.0420   4.1511
   0.8550577558   0.8550212259  -0.49497  3.69635    7.8837   7.2087   7.2364   6.2685   5.7413   5.2832   4.6481   4.1334   4.0701   4.0239   4.0196   4.1263
   0.8617993429   0.8617618096  -0.47852  3.69892    7.7968   7.1438   7.1712   6.2135   5.6942   5.2416   4.6154   4.1089   4.0468   4.0012   3.9971   4.1017
   0.8685409300   0.8685023161  -0.46217  3.70146    7.7132   7.0813   7.1084   6.1608   5.6486   5.2009   4.5833   4.0844   4.0234   3.9785   3.9746   4.0770
   0.8752825171   0.8752426755  -0.44593  3.70399    7.6320   7.0207   7.0474   6.1097   5.6040   5.1610   4.5515   4.0599   3.9999   3.9558   3.9521   4.0523
   0.8820241042   0.8819829920  -0.42979  3.70650    7.5520   6.9610   6.9874   6.0594   5.5600   5.1215   4.5201   4.0356   3.9766   3.9332   3.9297   4.0278
   0.8887656913   0.8887232665  -0.41376  3.70899    7.4718   6.9012   6.9272   6.0090   5.5161   5.0821   4.4888   4.0115   3.9536   3.9110   3.9076   4.0036
   0.8955072784   0.8954634921  -0.39783  3.71146    7.3912   6.8412   6.8669   5.9584   5.4721   5.0427   4.4578   3.9877   3.9309   3.8890   3.8858   3.9797
   0.9022488655   0.9022036152  -0.38198  3.71385    7.3119   6.7819   6.8072   5.9083   5.4284   5.0036   4.4267   3.9637   3.9079   3.8668   3.8636   3.9555
   0.9089904526   0.9089435413  -0.36618  3.71609    7.2353   6.7240   6.7491   5.8591   5.3852   4.9647   4.3953   3.9388   3.8840   3.8436   3.8405   3.9305
   0.9157320398   0.9156834781  -0.35047  3.71831    7.1600   6.6670   6.6918   5.8108   5.3426   4.9263   4.3642   3.9141   3.8603   3.8206   3.8176   3.9056
   0.9224736269   0.9224234331  -0.33486  3.72053    7.0858   6.6108   6.6352   5.7633   5.3006   4.8883   4.3333   3.8895   3.8366   3.7976   3.7947   3.8808
   0.9292152140   0.9291634709  -0.31930  3.72273    7.0127   6.5553   6.5794   5.7166   5.2592   4.8507   4.3027   3.8650   3.8129   3.7747   3.7719   3.8560
   0.9359568011   0.9359034593  -0.30386  3.72492    6.9409   6.5005   6.5243   5.6706   5.2183   4.8136   4.2724   3.8407   3.7894   3.7518   3.7492   3.8314
   0.9426983882   0.9426433765  -0.28852  3.72709    6.8702   6.4465   6.4700   5.6254   5.1780   4.7770   4.2425   3.8164   3.7660   3.7292   3.7266   3.8069
   0.9494399753   0.9493830344  -0.27330  3.72924    6.8003   6.3929   6.4162   5.5806   5.1381   4.7407   4.2128   3.7924   3.7428   3.7067   3.7042   3.7827
   0.9561815624   0.9561225412  -0.25819  3.73138    6.7306   6.3397   6.3627   5.5362   5.0985   4.7046   4.1833   3.7686   3.7198   3.6845   3.6821   3.7586
   0.9629231495   0.9628619333  -0.24319  3.73349    6.6608   6.2866   6.3093   5.4919   5.0589   4.6687   4.1541   3.7450   3.6971   3.6625   3.6602   3.7349
   0.9696647366   0.9696012659  -0.22829  3.73559    6.5909   6.2336   6.2560   5.4476   5.0196   4.6330   4.1251   3.7217   3.6747   3.6407   3.6385   3.7113
   0.9764063237   0.9763406919  -0.21347  3.73767    6.5218   6.1811   6.2032   5.4038   4.9805   4.5975   4.0963   3.6986   3.6524   3.6191   3.6170   3.6879
   0.9831479108   0.9830801090  -0.19875  3.73973    6.4543   6.1294   6.1511   5.3607   4.9421   4.5626   4.0678   3.6755   3.6301   3.5975   3.5955   3.6646
   0.9898894979   0.9898194855  -0.18413  3.74178    6.3892   6.0788   6.1002   5.3185   4.9044   4.5283   4.0396   3.6524   3.6078   3.5759   3.5740   3.6412
   0.9966310850   0.9965588043  -0.16958  3.74381    6.3260   6.0291   6.0503   5.2773   4.8674   4.4945   4.0117   3.6294   3.5854   3.5542   3.5523   3.6178
   1.0033726721   1.0032979662  -0.15496  3.74572    6.2651   5.9804   6.0013   5.2365   4.8305   4.4607   3.9832   3.6054   3.5620   3.5314   3.5296   3.5934
   1.0101142592   1.0100369915  -0.14029  3.74751    6.2057   5.9324   5.9530   5.1959   4.7936   4.4265   3.9541   3.5805   3.5377   3.5077   3.5059   3.5681
   1.0168558463   1.0167759073  -0.12571  3.74928    6.1462   5.8845   5.9048   5.1554   4.7568   4.3925   3.9252   3.5558   3.5136   3.4841   3.4824   3.5430
   1.0235974334   1.0235147674  -0.11120  3.75104    6.0865   5.8365   5.8565   5.1150   4.7201   4.3587   3.8964   3.5313   3.4897   3.4608   3.4591   3.5182
   1.0303390205   1.0302535930  -0.09677  3.75280    6.0269   5.7888   5.8085   5.0748   4.6835   4.3249   3.8677   3.5070   3.4660   3.4377   3.4360   3.4935
   1.0370806077   1.0369923624  -0.08244  3.75453    5.9679   5.7414   5.7608   5.0348   4.6472   4.2915   3.8393   3.4829   3.4425   3.4147   3.4131   3.4690
   1.0438221948   1.0437310345  -0.06821  3.75625    5.9098   5.6944   5.7136   4.9952   4.6112   4.2583   3.8111   3.4589   3.4191   3.3918   3.3903   3.4446
   1.0505637819   1.0504695460  -0.05406  3.75795    5.8527   5.6480   5.6670   4.9561   4.5756   4.2255   3.7831   3.4350   3.3958   3.3690   3.3675   3.4204
   1.0573053690   1.0572079417  -0.03999  3.75964    5.7965   5.6021   5.6208   4.9173   4.5403   4.1929   3.7553   3.4112   3.3726   3.3463   3.3448   3.3962
   1.0640469561   1.0639461919  -0.02600  3.76132    5.7414   5.5567   5.5751   4.8789   4.5053   4.1606   3.7277   3.3875   3.3494   3.3237   3.3222   3.3721
   1.0707885432   1.0706843967  -0.01206  3.76299    5.6871   5.5117   5.5298   4.8408   4.4706   4.1286   3.7003   3.3639   3.3264   3.3010   3.2996   3.3481
